Frame,H bond APO,H bond sily,H bond Tada
718,72,43,60
719,84,44,58
720,77,54,57
721,80,43,54
722,73,45,52
723,75,65,43
724,76,56,57
725,76,65,50
726,73,50,60
727,86,50,69
728,65,53,50
729,82,61,58
730,72,53,51
731,76,53,60
732,91,47,55
733,79,54,64
734,81,49,49
735,67,47,51
736,63,57,54
737,73,51,49
738,80,57,45
739,86,53,51
740,79,47,56
741,74,47,55
742,79,64,51
743,65,46,44
744,70,53,56
745,86,52,51
746,82,53,51
747,77,45,50
748,76,53,53
749,78,59,58
750,77,52,54
751,74,44,48
752,74,57,53
753,73,50,56
754,64,47,64
755,84,54,50
756,83,57,44
757,67,47,46
758,73,52,44
759,66,49,47
760,74,50,52
761,74,55,58
762,75,52,47
763,78,50,52
764,66,53,50
765,89,53,44
766,77,60,65
767,67,57,44
768,70,53,63
769,72,46,50
770,76,51,51
771,63,58,54
772,78,45,48
773,85,48,55
774,72,50,53
775,69,58,54
776,75,53,49
777,70,58,48
778,76,57,45
779,76,48,47
780,61,55,60
781,88,42,45
782,71,59,61
783,65,51,49
784,68,44,49
785,70,51,47
786,93,60,45
787,83,60,55
788,64,55,54
789,77,47,52
790,101,48,47
791,84,50,40
792,85,53,47
793,79,41,61
794,79,47,63
795,78,54,58
796,67,51,53
797,65,47,52
798,70,50,50
799,80,45,50
800,69,48,51
801,74,55,57
802,85,58,46
803,77,49,40
804,73,47,47
805,84,60,56
806,76,49,48
807,69,45,46
808,67,47,57
809,73,55,55
810,85,45,64
811,67,56,57
812,75,52,41
813,72,57,56
814,66,51,48
815,75,52,56
816,67,48,49
817,73,54,57
818,74,64,56
819,63,54,57
820,77,51,50
821,80,45,57
822,63,57,65
823,94,39,51
824,73,43,48
825,74,40,57
826,83,48,57
827,78,66,56
828,69,52,47
829,78,49,51
830,68,43,55
831,84,52,55
832,76,55,55
833,72,63,55
834,79,56,43
835,83,64,54
836,73,48,49
837,93,53,63
838,80,47,52
839,76,49,38
840,82,51,56
841,75,51,67
842,78,47,48
843,75,55,59
844,79,48,61
845,74,60,54
846,71,42,57
847,88,46,52
848,82,45,49
849,70,44,44
850,70,51,48
851,76,51,51
852,71,52,47
853,71,54,54
854,81,49,47
855,87,50,59
856,77,59,46
857,63,43,40
858,74,52,46
859,84,54,51
860,75,49,44
861,71,52,49
862,85,52,58
863,85,55,53
864,69,64,47
865,82,38,47
866,74,53,55
867,82,50,57
868,85,52,45
869,74,45,51
870,83,51,56
871,79,52,50
872,86,43,48
873,80,48,49
874,79,56,57
875,81,44,51
876,84,47,53
877,81,51,47
878,77,54,59
879,79,56,59
880,83,60,47
881,80,54,60
882,70,52,51
883,74,43,46
884,88,47,53
885,76,56,60
886,88,49,56
887,84,47,50
888,68,55,55
889,82,51,46
890,82,52,53
891,75,57,55
892,79,47,57
893,64,56,46
894,85,52,51
895,98,57,47
896,83,48,54
897,79,56,50
898,84,37,59
899,85,49,42
900,76,46,54
901,87,54,55
902,84,57,47
903,89,43,50
904,79,43,55
905,81,54,50
906,80,47,47
907,75,45,58
908,75,53,45
909,82,47,42
910,81,55,53
911,70,53,55
912,83,55,57
913,81,58,45
914,77,54,51
915,90,49,47
916,76,55,51
917,75,51,51
918,77,55,60
919,80,46,57
920,73,52,51
921,82,40,43
922,75,47,46
923,84,43,56
924,84,60,42
925,81,51,44
926,84,50,49
927,73,51,46
928,80,50,53
929,73,54,49
930,69,43,53
931,70,54,53
932,74,60,49
933,78,39,52
934,86,53,39
935,85,48,60
936,79,42,49
937,77,47,50
938,74,57,44
939,79,54,45
940,71,47,60
941,76,57,44
942,69,52,56
943,74,44,54
944,80,47,43
945,92,52,43
946,74,46,49
947,54,52,48
948,80,42,39
949,77,44,44
950,92,52,47
951,76,56,55
952,72,50,57
953,72,45,51
954,92,57,47
955,75,50,51
956,87,50,42
957,79,40,45
958,78,46,39
959,82,53,39
960,68,51,42
961,70,50,50
962,79,42,58
963,81,51,43
964,86,44,51
965,77,42,50
966,79,51,44
967,90,51,42
968,78,51,51
969,83,61,44
970,72,53,42
971,82,52,47
972,88,47,42
973,77,51,57
974,78,54,49
975,78,48,47
976,83,45,49
977,72,50,52
978,69,56,49
979,78,47,50
980,79,48,56
981,78,52,47
982,82,44,44
983,74,56,55
984,75,38,38
985,79,44,52
986,84,49,36
987,76,42,54
988,74,56,46
989,73,55,55
990,76,48,56
991,76,43,54
992,67,47,52
993,71,48,46
994,77,54,45
995,56,47,50
996,81,43,43
997,69,50,48
998,66,50,46
999,73,44,53
1000,75,50,50
