Apo RMSD,Silymarin RMSD,tadalafil RMSD
1.615762591,3.28545785,3.519244671
1.534151077,3.414673567,3.27903676
1.551481485,3.419823408,3.274303913
1.514691472,3.31282115,3.169308186
1.537619352,3.171295166,3.037863255
1.566880345,3.181320667,3.272676468
1.53869164,3.356934071,3.17971921
1.578687906,3.563247442,3.263366938
1.59371376,3.364737034,2.969926119
1.581483245,3.710648775,2.969261169
1.57266593,3.687608242,2.894066095
1.539483309,3.311023235,3.012285471
1.582998514,3.316904783,3.365750313
1.529875159,3.376134396,3.16108036
1.525014758,3.229809761,3.242217779
1.499955654,3.092073202,3.156620502
1.565341949,3.212144136,3.074554205
1.463799477,3.187361717,2.975704432
1.44897747,3.424257278,3.072762966
1.496316791,3.274008274,3.090171576
1.467309117,3.145696878,3.28878355
1.637753367,3.155222416,3.226686239
1.564545989,3.239570141,3.117401123
1.550884247,3.25511837,3.292265892
1.517571807,3.27284956,3.201361656
1.472034097,3.234856129,3.378777742
1.48553288,3.350449324,3.331867695
1.518278003,3.518329382,3.487158775
1.569334745,3.426186562,3.268068075
1.578372717,3.444863796,3.214435577
1.565278292,3.650526762,3.433351994
1.549254179,3.603065729,3.315552711
1.551916957,3.633232594,3.300698519
1.609698415,3.524730206,3.198553562
1.543422222,3.557852983,3.346445084
1.574054837,3.53014493,3.06768918
1.579968095,3.545079231,3.122915983
1.554690838,3.716338158,3.053522825
1.531026125,3.820994616,3.169323206
1.510851026,3.677051783,2.940786123
1.538193464,3.769453526,3.114275217
1.569913983,3.674637079,3.062321663
1.570231318,3.653652906,3.024295568
1.508509159,3.47713995,3.036438465
1.609265327,3.41313839,3.181127787
1.606418729,3.530230999,3.145909786
1.572807431,3.300867558,3.153314352
1.516828537,3.425163507,3.275767326
1.545344234,3.254624605,3.318105221
1.619977355,3.303108692,3.123996973
1.585291505,3.310560226,3.062201977
1.606570959,3.255643368,2.971220493
1.643465042,3.363092184,3.061652184
1.639832973,3.531909227,3.300148249
1.645751953,3.490986824,3.407915831
1.686289907,3.394330502,3.474104404
1.684320688,3.399083376,3.065226316
1.629998684,3.681633711,3.06003809
1.670086861,3.560127497,3.333682299
1.665309548,3.5074687,3.261544466
1.645789027,3.423284531,3.270929098
1.735074997,3.412073851,3.447990417
1.818660498,3.467970371,3.35685277
1.816669822,3.542704344,3.446283102
1.834108233,3.603393316,3.34521699
1.8653543,3.458460808,3.477363348
1.872960091,3.451714039,3.333254337
1.893769383,3.444004059,3.505567551
1.951470256,3.3677423,3.293962002
1.986371875,3.339933872,3.231595039
1.983013391,3.067822218,3.422964573
1.889492393,3.156882286,3.14058876
1.878359079,2.999336243,3.045927286
1.867788792,2.98781085,3.245791912
1.892948151,2.87408185,3.090401173
1.89685142,3.07159543,3.130102396
1.893235922,3.000147581,3.095563412
1.809920907,3.041145802,3.122114658
1.742300987,3.154495716,3.28352356
1.769913793,3.321781635,3.267512798
1.728586912,3.192722559,3.40362525
1.75645113,3.257977247,3.538878679
1.801911831,3.076149702,3.491979122
1.796616435,3.03741312,3.736145973
1.784673452,3.028090477,3.406589985
1.743192673,3.109225988,3.529682875
1.685101748,3.149563074,3.585820675
1.754126787,3.427133799,3.583740473
1.760076165,3.077780724,3.366348982
1.728935599,3.00235343,3.355363131
1.795283556,3.009621382,3.307786465
1.718579888,2.816688061,3.137575865
1.747514606,2.999241829,3.329729795
1.749710202,3.043753147,3.140858173
1.793068051,2.921670437,3.194926262
1.819698334,3.032620668,3.330023766
1.838747144,3.085235834,3.315951347
