APO i rad_of_gyr,Silymai rad_of_gyr,Tada i rad_of_gyr
19.56532466,20.08411107,20.04162474
19.5927375,20.02773167,20.16384109
19.58923231,19.9746652,20.10219063
19.56788272,20.02304575,20.04731357
19.58765844,20.05806131,20.03671467
19.58289182,19.96596598,20.01829835
19.54641889,19.99526709,20.04480405
19.59141269,19.93207994,20.04864708
19.53431738,19.92585247,19.98968174
19.59499213,19.97190111,20.03873196
19.6337129,20.07037108,20.01213004
19.62139748,19.9675372,20.11156177
19.58607223,20.0237475,20.06375456
19.59369997,20.04909806,19.9953842
19.59405604,20.01914953,19.97198402
19.63234189,20.05432423,19.94436432
19.65732834,19.94855753,19.93184258
19.59673385,19.91445992,20.02315058
19.59868859,20.05193309,20.12370264
19.53991167,19.98804252,20.0278356
19.57679198,19.99864779,20.15913598
19.58923809,19.84947492,20.04221964
19.59752378,20.01398849,20.00234579
19.59574327,19.88172748,20.07522193
19.52302264,19.9491643,19.98051205
19.5896265,20.02195763,19.9972766
19.62491366,19.98462963,20.17563432
19.52075523,20.13593288,20.14368908
19.5395959,20.17353142,20.26482028
19.57769155,20.01104973,20.1132035
19.51485129,20.18518851,20.2529316
19.55052266,20.04900234,20.08894173
19.51429802,19.94404293,20.15425598
19.58139157,20.00077684,20.24854634
19.55700774,20.10211893,20.32916145
19.52621539,20.191275,20.0871267
19.55049289,20.16534603,20.06954327
19.45504486,20.07310433,20.11314696
19.47149894,20.14660672,20.13352195
19.41979116,20.10021355,20.14698311
19.48846795,20.13587255,20.06437809
19.45375252,20.21942413,20.03110189
19.59325051,20.15065263,20.10912453
19.54144295,20.14993089,20.07450735
19.55308414,20.14401685,19.97536584
19.45034001,20.19347654,19.93139583
19.48503861,20.26254954,19.90263127
19.49573381,20.15621374,19.85133013
19.48431309,20.20364569,19.92717384
19.4915982,20.03021606,19.7628548
19.45298733,20.02449702,19.91854249
19.50981059,19.89582191,19.99880546
19.45374395,19.85147519,19.81755613
19.48049182,20.04409476,19.94058124
19.49921825,19.98300991,19.87459484
19.53470175,19.94954035,19.87545914
19.49936389,20.07462805,20.1123411
19.4953913,20.03015721,20.01869231
19.51500236,19.99851663,19.93048452
19.50255971,20.10445245,19.91211875
19.49269972,20.09466372,19.93799804
19.49906708,20.10850692,19.97593658
19.4966175,20.16924736,19.85183918
19.52699713,20.08104547,19.9259118
19.58733983,20.07456722,19.81992974
19.4774499,20.09037353,20.04994434
19.51746957,20.15723382,19.83615654
19.45516889,20.2989025,19.85810237
19.48845091,19.98154404,19.82967913
19.51804453,20.10760189,19.85323285
